table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR556::1_Pre-harvest soil chemistry,Ex. Mg (cmol/kg),TRUE,mg.ext,usda.a724,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a724_cmolc.kg,NA
FR556::1_Pre-harvest soil chemistry,Ex. K  (cmol/kg),TRUE,k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a725_cmolc.kg,NA
FR556::1_Pre-harvest soil chemistry,Ex. Na (cmol/kg),TRUE,na.ext,usda.a726,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a726_cmolc.kg,NA
FR556::1_Pre-harvest soil chemistry,CEC (cmol/kg),TRUE,cec,usda.a723,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cec_usda.a723_cmolc.kg,NA
FR556::1_Pre-harvest soil chemistry,BS (%),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Sulphate S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Al (mg/kg),TRUE,al.ext,usda.a1056,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a1056_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 B (mg/kg),TRUE,b.ext,mel3,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",b.ext_mel3_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Ca (mg/kg),TRUE,ca.ext,usda.a1059,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a1059_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Cu (mg/kg),TRUE,cu.ext,usda.a1063,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cu.ext_usda.a1063_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Fe (mg/kg),TRUE,fe.ext,usda.a1064,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ext_usda.a1064_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 K (mg/kg),TRUE,k.ext,usda.a1065,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a1065_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Mg (mg/kg),TRUE,mg.ext,usda.a1066,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a1066_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Mn (mg/kg),TRUE,mn.ext,usda.a1067,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a1067_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Na (mg/kg),TRUE,na.ext,usda.a1068,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a1068_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 P (mg/kg),TRUE,p.ext,usda.a652,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a652_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Mehlich 3 Zn (mg/kg),TRUE,zn.ext,usda.a1073,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",zn.ext_usda.a1073_mg.kg,NA
FR556::1_Pre-harvest soil chemistry,Total B (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Na (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Mg (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Al (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total P (mg/kg)...45,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total K (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Ca (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total V (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Cr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Mn (mg/kg),NA,NA,NA,NA,NA,NA,NA
